"id","name","name_unac","state"
"2702306","Coruripe","Coruripe","AL"
"2702355","Craíbas","Craibas","AL"
"2702405","Delmiro Gouveia","Delmiro Gouveia","AL"
"2702504","Dois Riachos","Dois Riachos","AL"
"2702553","Estrela de Alagoas","Estrela de Alagoas","AL"
"2702603","Feira Grande","Feira Grande","AL"
"2702702","Feliz Deserto","Feliz Deserto","AL"
"2702801","Flexeiras","Flexeiras","AL"
"2702900","Girau do Ponciano","Girau do Ponciano","AL"
"2703007","Ibateguara","Ibateguara","AL"
"2703106","Igaci","Igaci","AL"
"2703205","Igreja Nova","Igreja Nova","AL"
"2703304","Inhapi","Inhapi","AL"
"2703403","Jacaré dos Homens","Jacare dos Homens","AL"
"2703502","Jacuípe","Jacuipe","AL"
"2703601","Japaratinga","Japaratinga","AL"
"2703700","Jaramataia","Jaramataia","AL"
"2703759","Jequiá da Praia","Jequia da Praia","AL"
"2703809","Joaquim Gomes","Joaquim Gomes","AL"
"2703908","Jundiá","Jundia","AL"
"2704005","Junqueiro","Junqueiro","AL"
"2704104","Lagoa da Canoa","Lagoa da Canoa","AL"
"2704203","Limoeiro de Anadia","Limoeiro de Anadia","AL"
"2704302","Maceió","Maceio","AL"
"2704401","Major Isidoro","Major Isidoro","AL"
"2704500","Maragogi","Maragogi","AL"
"2704609","Maravilha","Maravilha","AL"
"2704708","Marechal Deodoro","Marechal Deodoro","AL"
"2704807","Maribondo","Maribondo","AL"
"2704906","Mar Vermelho","Mar Vermelho","AL"
"2705002","Mata Grande","Mata Grande","AL"
"2705101","Matriz de Camaragibe","Matriz de Camaragibe","AL"
"2705200","Messias","Messias","AL"
"2705309","Minador do Negrão","Minador do Negrao","AL"
"2705408","Monteirópolis","Monteiropolis","AL"
"2705507","Murici","Murici","AL"
"2705606","Novo Lino","Novo Lino","AL"
"2705705","Olho d'Água das Flores","Olho d'Agua das Flores","AL"
"2705804","Olho d'Água do Casado","Olho d'Agua do Casado","AL"
"2705903","Olho d'Água Grande","Olho d'Agua Grande","AL"
"2706000","Olivença","Olivenca","AL"
"2706109","Ouro Branco","Ouro Branco","AL"
"2706208","Palestina","Palestina","AL"
"2706307","Palmeira dos Índios","Palmeira dos Indios","AL"
"2706406","Pão de Açúcar","Pao de Acucar","AL"
"2706422","Pariconha","Pariconha","AL"
"2706448","Paripueira","Paripueira","AL"
"2706505","Passo de Camaragibe","Passo de Camaragibe","AL"
"2706604","Paulo Jacinto","Paulo Jacinto","AL"
"2706703","Penedo","Penedo","AL"
"2706802","Piaçabuçu","Piacabucu","AL"
"2706901","Pilar","Pilar","AL"
"2707008","Pindoba","Pindoba","AL"
"2707107","Piranhas","Piranhas","AL"
"2707206","Poço das Trincheiras","Poco das Trincheiras","AL"
"2707305","Porto Calvo","Porto Calvo","AL"
"2707404","Porto de Pedras","Porto de Pedras","AL"
"2707503","Porto Real do Colégio","Porto Real do Colegio","AL"
"2707602","Quebrangulo","Quebrangulo","AL"
"2707701","Rio Largo","Rio Largo","AL"
"2707800","Roteiro","Roteiro","AL"
"2707909","Santa Luzia do Norte","Santa Luzia do Norte","AL"
"2708006","Santana do Ipanema","Santana do Ipanema","AL"
"2708105","Santana do Mundaú","Santana do Mundau","AL"
"2708204","São Brás","Sao Bras","AL"
"2708303","São José da Laje","Sao Jose da Laje","AL"
"2708402","São José da Tapera","Sao Jose da Tapera","AL"
"2708501","São Luís do Quitunde","Sao Luis do Quitunde","AL"
"2708600","São Miguel dos Campos","Sao Miguel dos Campos","AL"
"2708709","São Miguel dos Milagres","Sao Miguel dos Milagres","AL"
"2708808","São Sebastião","Sao Sebastiao","AL"
"2708907","Satuba","Satuba","AL"
"2708956","Senador Rui Palmeira","Senador Rui Palmeira","AL"
"2709004","Tanque d'Arca","Tanque d'Arca","AL"
"2709103","Taquarana","Taquarana","AL"
"2709152","Teotônio Vilela","Teotonio Vilela","AL"
"2709202","Traipu","Traipu","AL"
"2709301","União dos Palmares","Uniao dos Palmares","AL"
"2709400","Viçosa","Vicosa","AL"
"1300029","Alvarães","Alvaraes","AM"
"1300060","Amaturá","Amatura","AM"
"1300086","Anamã","Anama","AM"
"1300102","Anori","Anori","AM"
"1300144","Apuí","Apui","AM"
"1300201","Atalaia do Norte","Atalaia do Norte","AM"
"1300300","Autazes","Autazes","AM"
"1300409","Barcelos","Barcelos","AM"
"1300508","Barreirinha","Barreirinha","AM"
"1300607","Benjamin Constant","Benjamin Constant","AM"
"1300631","Beruri","Beruri","AM"
"1300680","Boa Vista do Ramos","Boa Vista do Ramos","AM"
"1300706","Boca do Acre","Boca do Acre","AM"
"1300805","Borba","Borba","AM"
"1300839","Caapiranga","Caapiranga","AM"
"1300904","Canutama","Canutama","AM"
"1301001","Carauari","Carauari","AM"
"1301100","Careiro","Careiro","AM"
"1301159","Careiro da Várzea","Careiro da Varzea","AM"
"1301209","Coari","Coari","AM"
"1301308","Codajás","Codajas","AM"
"1301407","Eirunepé","Eirunepe","AM"
"1301506","Envira","Envira","AM"
"1301605","Fonte Boa","Fonte Boa","AM"
"1301654","Guajará","Guajara","AM"
"1301704","Humaitá","Humaita","AM"
"1301803","Ipixuna","Ipixuna","AM"
"1301852","Iranduba","Iranduba","AM"
"1301902","Itacoatiara","Itacoatiara","AM"
"1301951","Itamarati","Itamarati","AM"
"1302009","Itapiranga","Itapiranga","AM"
"1302108","Japurá","Japura","AM"
"1302207","Juruá","Jurua","AM"
"1302306","Jutaí","Jutai","AM"
"1302405","Lábrea","Labrea","AM"
"1302504","Manacapuru","Manacapuru","AM"
"1302553","Manaquiri","Manaquiri","AM"
"1302603","Manaus","Manaus","AM"
"1302702","Manicoré","Manicore","AM"
"1302801","Maraã","Maraa","AM"
"1302900","Maués","Maues","AM"
"1303007","Nhamundá","Nhamunda","AM"
"1303106","Nova Olinda do Norte","Nova Olinda do Norte","AM"
"1303205","Novo Airão","Novo Airao","AM"
"1303304","Novo Aripuanã","Novo Aripuana","AM"
"1303403","Parintins","Parintins","AM"
"1303502","Pauini","Pauini","AM"
"1303536","Presidente Figueiredo","Presidente Figueiredo","AM"
"1303569","Rio Preto da Eva","Rio Preto da Eva","AM"
"1303601","Santa Isabel do Rio Negro","Santa Isabel do Rio Negro","AM"
"1303700","Santo Antônio do Içá","Santo Antonio do Ica","AM"
"1303809","São Gabriel da Cachoeira","Sao Gabriel da Cachoeira","AM"
"1303908","São Paulo de Olivença","Sao Paulo de Olivenca","AM"
"1303957","São Sebastião do Uatumã","Sao Sebastiao do Uatuma","AM"
"1304005","Silves","Silves","AM"
"1304062","Tabatinga","Tabatinga","AM"
"1304104","Tapauá","Tapaua","AM"
"1304203","Tefé","Tefe","AM"
"1304237","Tonantins","Tonantins","AM"
"1304260","Uarini","Uarini","AM"
"1304302","Urucará","Urucara","AM"
"1304401","Urucurituba","Urucurituba","AM"
"1600055","Serra do Navio","Serra do Navio","AP"
"1600105","Amapá","Amapa","AP"
"1600154","Pedra Branca do Amapari","Pedra Branca do Amapari","AP"
"1600204","Calçoene","Calcoene","AP"
"1600212","Cutias","Cutias","AP"
"1600238","Ferreira Gomes","Ferreira Gomes","AP"
"1600253","Itaubal","Itaubal","AP"
"1600279","Laranjal do Jari","Laranjal do Jari","AP"
"1600303","Macapá","Macapa","AP"
"1600402","Mazagão","Mazagao","AP"
"1600501","Oiapoque","Oiapoque","AP"
"1600535","Porto Grande","Porto Grande","AP"
"1600550","Pracuúba","Pracuuba","AP"
"1600600","Santana","Santana","AP"
"1600709","Tartarugalzinho","Tartarugalzinho","AP"
"1600808","Vitória do Jari","Vitoria do Jari","AP"
"2900108","Abaíra","Abaira","BA"
"2900207","Abaré","Abare","BA"
"2900306","Acajutiba","Acajutiba","BA"
"2900355","Adustina","Adustina","BA"
"2900405","Água Fria","Agua Fria","BA"
"2900504","Érico Cardoso","Erico Cardoso","BA"
"2900603","Aiquara","Aiquara","BA"
"2900702","Alagoinhas","Alagoinhas","BA"
"2900801","Alcobaça","Alcobaca","BA"
"2900900","Almadina","Almadina","BA"
"2901007","Amargosa","Amargosa","BA"
"2901106","Amélia Rodrigues","Amelia Rodrigues","BA"
"2901155","América Dourada","America Dourada","BA"
"2901205","Anagé","Anage","BA"
"2901304","Andaraí","Andarai","BA"
"2901353","Andorinha","Andorinha","BA"
"2901403","Angical","Angical","BA"
"2901502","Anguera","Anguera","BA"
"2901601","Antas","Antas","BA"
"2901700","Antônio Cardoso","Antonio Cardoso","BA"
"2901809","Antônio Gonçalves","Antonio Goncalves","BA"
"2901908","Aporá","Apora","BA"
"2901957","Apuarema","Apuarema","BA"
"2902005","Aracatu","Aracatu","BA"
"2902054","Araçás","Aracas","BA"
"2902104","Araci","Araci","BA"
"2902203","Aramari","Aramari","BA"
"2902252","Arataca","Arataca","BA"
"2902302","Aratuípe","Aratuipe","BA"
"2902401","Aurelino Leal","Aurelino Leal","BA"
"2902500","Baianópolis","Baianopolis","BA"
"2902609","Baixa Grande","Baixa Grande","BA"
"2902658","Banzaê","Banzae","BA"
"2902708","Barra","Barra","BA"
"2902807","Barra da Estiva","Barra da Estiva","BA"
"2902906","Barra do Choça","Barra do Choca","BA"
"2903003","Barra do Mendes","Barra do Mendes","BA"
"2903102","Barra do Rocha","Barra do Rocha","BA"
"2903201","Barreiras","Barreiras","BA"
"2903235","Barro Alto","Barro Alto","BA"
"2903276","Barrocas","Barrocas","BA"
"2903300","Barro Preto","Barro Preto","BA"
"2903409","Belmonte","Belmonte","BA"
"2903508","Belo Campo","Belo Campo","BA"
"2903607","Biritinga","Biritinga","BA"
"2903706","Boa Nova","Boa Nova","BA"
"2903805","Boa Vista do Tupim","Boa Vista do Tupim","BA"
"2903904","Bom Jesus da Lapa","Bom Jesus da Lapa","BA"
"2903953","Bom Jesus da Serra","Bom Jesus da Serra","BA"
"2904001","Boninal","Boninal","BA"
"2904050","Bonito","Bonito","BA"
"2904100","Boquira","Boquira","BA"
"2904209","Botuporã","Botupora","BA"
"2904308","Brejões","Brejoes","BA"
"2904407","Brejolândia","Brejolandia","BA"
"2904506","Brotas de Macaúbas","Brotas de Macaubas","BA"
"2904605","Brumado","Brumado","BA"
"2904704","Buerarema","Buerarema","BA"
"2904753","Buritirama","Buritirama","BA"
"2904803","Caatiba","Caatiba","BA"
"2904852","Cabaceiras do Paraguaçu","Cabaceiras do Paraguacu","BA"
"2904902","Cachoeira","Cachoeira","BA"
"2905008","Caculé","Cacule","BA"
"2905107","Caém","Caem","BA"
"2905156","Caetanos","Caetanos","BA"
"2905206","Caetité","Caetite","BA"
"2905305","Cafarnaum","Cafarnaum","BA"
"2905404","Cairu","Cairu","BA"
"2905503","Caldeirão Grande","Caldeirao Grande","BA"
"2905602","Camacan","Camacan","BA"
"2905701","Camaçari","Camacari","BA"
"2905800","Camamu","Camamu","BA"
"2905909","Campo Alegre de Lourdes","Campo Alegre de Lourdes","BA"
"2906006","Campo Formoso","Campo Formoso","BA"
"2906105","Canápolis","Canapolis","BA"
"2906204","Canarana","Canarana","BA"
"2906303","Canavieiras","Canavieiras","BA"
"2906402","Candeal","Candeal","BA"
"2906501","Candeias","Candeias","BA"
"2906600","Candiba","Candiba","BA"
"2906709","Cândido Sales","Candido Sales","BA"
"2906808","Cansanção","Cansancao","BA"
"2906824","Canudos","Canudos","BA"
"2906857","Capela do Alto Alegre","Capela do Alto Alegre","BA"
"2906873","Capim Grosso","Capim Grosso","BA"
"2906899","Caraíbas","Caraibas","BA"
"2906907","Caravelas","Caravelas","BA"
"2907004","Cardeal da Silva","Cardeal da Silva","BA"
"2907103","Carinhanha","Carinhanha","BA"
"2907202","Casa Nova","Casa Nova","BA"
"2907301","Castro Alves","Castro Alves","BA"
"2907400","Catolândia","Catolandia","BA"
"2907509","Catu","Catu","BA"
"2907558","Caturama","Caturama","BA"
"2907608","Central","Central","BA"
"2907707","Chorrochó","Chorrocho","BA"
"2907806","Cícero Dantas","Cicero Dantas","BA"
"2907905","Cipó","Cipo","BA"
"2908002","Coaraci","Coaraci","BA"
"2908101","Cocos","Cocos","BA"
"2908200","Conceição da Feira","Conceicao da Feira","BA"
"2908309","Conceição do Almeida","Conceicao do Almeida","BA"
"2908408","Conceição do Coité","Conceicao do Coite","BA"
"2908507","Conceição do Jacuípe","Conceicao do Jacuipe","BA"
"2908606","Conde","Conde","BA"
"2908705","Condeúba","Condeuba","BA"
"2908804","Contendas do Sincorá","Contendas do Sincora","BA"
"2908903","Coração de Maria","Coracao de Maria","BA"
"2909000","Cordeiros","Cordeiros","BA"
"2909109","Coribe","Coribe","BA"
"2909208","Coronel João Sá","Coronel Joao Sa","BA"
"2909307","Correntina","Correntina","BA"
"2909406","Cotegipe","Cotegipe","BA"
"2909505","Cravolândia","Cravolandia","BA"
"2909604","Crisópolis","Crisopolis","BA"
"2909703","Cristópolis","Cristopolis","BA"
"2909802","Cruz das Almas","Cruz das Almas","BA"
"2909901","Curaçá","Curaca","BA"
"2910008","Dário Meira","Dario Meira","BA"
"2910057","Dias d'Ávila","Dias d'Avila","BA"
"2910107","Dom Basílio","Dom Basilio","BA"
"2910206","Dom Macedo Costa","Dom Macedo Costa","BA"
"2910305","Elísio Medrado","Elisio Medrado","BA"
"2910404","Encruzilhada","Encruzilhada","BA"
"2910503","Entre Rios","Entre Rios","BA"
"2910602","Esplanada","Esplanada","BA"
"2910701","Euclides da Cunha","Euclides da Cunha","BA"
"2910727","Eunápolis","Eunapolis","BA"
"2910750","Fátima","Fatima","BA"
"2910776","Feira da Mata","Feira da Mata","BA"
"2910800","Feira de Santana","Feira de Santana","BA"
"2910859","Filadélfia","Filadelfia","BA"
"2910909","Firmino Alves","Firmino Alves","BA"
"2911006","Floresta Azul","Floresta Azul","BA"
"2911105","Formosa do Rio Preto","Formosa do Rio Preto","BA"
"2911204","Gandu","Gandu","BA"
"2911253","Gavião","Gaviao","BA"
"2911303","Gentio do Ouro","Gentio do Ouro","BA"
"2911402","Glória","Gloria","BA"
"2911501","Gongogi","Gongogi","BA"
"2911600","Governador Mangabeira","Governador Mangabeira","BA"
"2911659","Guajeru","Guajeru","BA"
"2911709","Guanambi","Guanambi","BA"
"2911808","Guaratinga","Guaratinga","BA"
"2911857","Heliópolis","Heliopolis","BA"
"2911907","Iaçu","Iacu","BA"
"2912004","Ibiassucê","Ibiassuce","BA"
"2912103","Ibicaraí","Ibicarai","BA"
"2912202","Ibicoara","Ibicoara","BA"
"2912301","Ibicuí","Ibicui","BA"
"2912400","Ibipeba","Ibipeba","BA"
"2912509","Ibipitanga","Ibipitanga","BA"
"2912608","Ibiquera","Ibiquera","BA"
"2912707","Ibirapitanga","Ibirapitanga","BA"
"2912806","Ibirapuã","Ibirapua","BA"
"2912905","Ibirataia","Ibirataia","BA"
"2913002","Ibitiara","Ibitiara","BA"
"2913101","Ibititá","Ibitita","BA"
"2913200","Ibotirama","Ibotirama","BA"
"2913309","Ichu","Ichu","BA"
"2913408","Igaporã","Igapora","BA"
"2913457","Igrapiúna","Igrapiuna","BA"
"2913507","Iguaí","Iguai","BA"
"2913606","Ilhéus","Ilheus","BA"
"2913705","Inhambupe","Inhambupe","BA"
"2913804","Ipecaetá","Ipecaeta","BA"
"2913903","Ipiaú","Ipiau","BA"
"2914000","Ipirá","Ipira","BA"
"2914109","Ipupiara","Ipupiara","BA"
"2914208","Irajuba","Irajuba","BA"
"2914307","Iramaia","Iramaia","BA"
"2914406","Iraquara","Iraquara","BA"
"2914505","Irará","Irara","BA"
"2914604","Irecê","Irece","BA"
"2914653","Itabela","Itabela","BA"
"2914703","Itaberaba","Itaberaba","BA"
"2914802","Itabuna","Itabuna","BA"
"2914901","Itacaré","Itacare","BA"
"2915007","Itaeté","Itaete","BA"
"2915106","Itagi","Itagi","BA"
"2915205","Itagibá","Itagiba","BA"
"2915304","Itagimirim","Itagimirim","BA"
"2915353","Itaguaçu da Bahia","Itaguacu da Bahia","BA"
"2915403","Itaju do Colônia","Itaju do Colonia","BA"
"2915502","Itajuípe","Itajuipe","BA"
"2915601","Itamaraju","Itamaraju","BA"
"2915700","Itamari","Itamari","BA"
"2915809","Itambé","Itambe","BA"
"2915908","Itanagra","Itanagra","BA"
"2916005","Itanhém","Itanhem","BA"
"2916104","Itaparica","Itaparica","BA"
"2916203","Itapé","Itape","BA"
"2916302","Itapebi","Itapebi","BA"
"2916401","Itapetinga","Itapetinga","BA"
"2916500","Itapicuru","Itapicuru","BA"
"2916609","Itapitanga","Itapitanga","BA"
"2916708","Itaquara","Itaquara","BA"
"2916807","Itarantim","Itarantim","BA"
"2916856","Itatim","Itatim","BA"
"2916906","Itiruçu","Itirucu","BA"
"2917003","Itiúba","Itiuba","BA"
"2917102","Itororó","Itororo","BA"
"2917201","Ituaçu","Ituacu","BA"
"2917300","Ituberá","Itubera","BA"
"2917334","Iuiu","Iuiu","BA"
"2917359","Jaborandi","Jaborandi","BA"
"2917409","Jacaraci","Jacaraci","BA"
"2917508","Jacobina","Jacobina","BA"
"2917607","Jaguaquara","Jaguaquara","BA"
"2917706","Jaguarari","Jaguarari","BA"
"2917805","Jaguaripe","Jaguaripe","BA"
"2917904","Jandaíra","Jandaira","BA"
"2918001","Jequié","Jequie","BA"
"2918100","Jeremoabo","Jeremoabo","BA"
"2918209","Jiquiriçá","Jiquirica","BA"
"2918308","Jitaúna","Jitauna","BA"
"2918357","João Dourado","Joao Dourado","BA"
"2918407","Juazeiro","Juazeiro","BA"
"2918456","Jucuruçu","Jucurucu","BA"
"2918506","Jussara","Jussara","BA"
"2918555","Jussari","Jussari","BA"
"2918605","Jussiape","Jussiape","BA"
"2918704","Lafaiete Coutinho","Lafaiete Coutinho","BA"
"2918753","Lagoa Real","Lagoa Real","BA"
"2918803","Laje","Laje","BA"
"2918902","Lajedão","Lajedao","BA"
"2919009","Lajedinho","Lajedinho","BA"
"2919058","Lajedo do Tabocal","Lajedo do Tabocal","BA"
"2919108","Lamarão","Lamarao","BA"
"2919157","Lapão","Lapao","BA"
"2919207","Lauro de Freitas","Lauro de Freitas","BA"
"2919306","Lençóis","Lencois","BA"
"2919405","Licínio de Almeida","Licinio de Almeida","BA"
"2919504","Livramento de Nossa Senhora","Livramento de Nossa Senhora","BA"
"2919553","Luís Eduardo Magalhães","Luis Eduardo Magalhaes","BA"
"2919603","Macajuba","Macajuba","BA"
"2919702","Macarani","Macarani","BA"
"2919801","Macaúbas","Macaubas","BA"
"2919900","Macururé","Macurure","BA"
"2919926","Madre de Deus","Madre de Deus","BA"
"2919959","Maetinga","Maetinga","BA"
"2920007","Maiquinique","Maiquinique","BA"
"2920106","Mairi","Mairi","BA"
"2920205","Malhada","Malhada","BA"
"2920304","Malhada de Pedras","Malhada de Pedras","BA"
"2920403","Manoel Vitorino","Manoel Vitorino","BA"
"2920452","Mansidão","Mansidao","BA"
"2920502","Maracás","Maracas","BA"
"2920601","Maragogipe","Maragogipe","BA"
"2920700","Maraú","Marau","BA"
"2920809","Marcionílio Souza","Marcionilio Souza","BA"
"2920908","Mascote","Mascote","BA"
"2921005","Mata de São João","Mata de Sao Joao","BA"
"2921054","Matina","Matina","BA"
"2921104","Medeiros Neto","Medeiros Neto","BA"
"2921203","Miguel Calmon","Miguel Calmon","BA"
"2921302","Milagres","Milagres","BA"
"2921401","Mirangaba","Mirangaba","BA"
"2921450","Mirante","Mirante","BA"
"2921500","Monte Santo","Monte Santo","BA"
"2921609","Morpará","Morpara","BA"
"2921708","Morro do Chapéu","Morro do Chapeu","BA"
"2921807","Mortugaba","Mortugaba","BA"
"2921906","Mucugê","Mucuge","BA"
"2922003","Mucuri","Mucuri","BA"
"2922052","Mulungu do Morro","Mulungu do Morro","BA"
"2922102","Mundo Novo","Mundo Novo","BA"
"2922201","Muniz Ferreira","Muniz Ferreira","BA"
"2922250","Muquém do São Francisco","Muquem do Sao Francisco","BA"
"2922300","Muritiba","Muritiba","BA"
"2922409","Mutuípe","Mutuipe","BA"
"2922508","Nazaré","Nazare","BA"
"2922607","Nilo Peçanha","Nilo Pecanha","BA"
"2922656","Nordestina","Nordestina","BA"
"2922706","Nova Canaã","Nova Canaa","BA"
"2922730","Nova Fátima","Nova Fatima","BA"
"2922755","Nova Ibiá","Nova Ibia","BA"
"2922805","Nova Itarana","Nova Itarana","BA"
"2922854","Nova Redenção","Nova Redencao","BA"
"2922904","Nova Soure","Nova Soure","BA"
"2923001","Nova Viçosa","Nova Vicosa","BA"
"2923035","Novo Horizonte","Novo Horizonte","BA"
"2923050","Novo Triunfo","Novo Triunfo","BA"
"2923100","Olindina","Olindina","BA"
"2923209","Oliveira dos Brejinhos","Oliveira dos Brejinhos","BA"
"2923308","Ouriçangas","Ouricangas","BA"
"2923357","Ourolândia","Ourolandia","BA"
"2923407","Palmas de Monte Alto","Palmas de Monte Alto","BA"
"2923506","Palmeiras","Palmeiras","BA"
"2923605","Paramirim","Paramirim","BA"
"2923704","Paratinga","Paratinga","BA"
"2923803","Paripiranga","Paripiranga","BA"
"2923902","Pau Brasil","Pau Brasil","BA"
"2924009","Paulo Afonso","Paulo Afonso","BA"
"2924058","Pé de Serra","Pe de Serra","BA"
"2924108","Pedrão","Pedrao","BA"
"2924207","Pedro Alexandre","Pedro Alexandre","BA"
"2924306","Piatã","Piata","BA"
"2924405","Pilão Arcado","Pilao Arcado","BA"
"2924504","Pindaí","Pindai","BA"
"2924603","Pindobaçu","Pindobacu","BA"
"2924652","Pintadas","Pintadas","BA"
"2924678","Piraí do Norte","Pirai do Norte","BA"
"2924702","Piripá","Piripa","BA"
"2924801","Piritiba","Piritiba","BA"
"2924900","Planaltino","Planaltino","BA"
"2925006","Planalto","Planalto","BA"
"2925105","Poções","Pocoes","BA"
"2925204","Pojuca","Pojuca","BA"
"2925253","Ponto Novo","Ponto Novo","BA"
"2925303","Porto Seguro","Porto Seguro","BA"
"2925402","Potiraguá","Potiragua","BA"
"2925501","Prado","Prado","BA"
"2925600","Presidente Dutra","Presidente Dutra","BA"
"2925709","Presidente Jânio Quadros","Presidente Janio Quadros","BA"
"2925758","Presidente Tancredo Neves","Presidente Tancredo Neves","BA"
"2925808","Queimadas","Queimadas","BA"
"2925907","Quijingue","Quijingue","BA"
"2925931","Quixabeira","Quixabeira","BA"
"2925956","Rafael Jambeiro","Rafael Jambeiro","BA"
"2926004","Remanso","Remanso","BA"
"2926103","Retirolândia","Retirolandia","BA"
"2926202","Riachão das Neves","Riachao das Neves","BA"
"2926301","Riachão do Jacuípe","Riachao do Jacuipe","BA"
"2926400","Riacho de Santana","Riacho de Santana","BA"
"2926509","Ribeira do Amparo","Ribeira do Amparo","BA"
"2926608","Ribeira do Pombal","Ribeira do Pombal","BA"
"2926657","Ribeirão do Largo","Ribeirao do Largo","BA"
"2926707","Rio de Contas","Rio de Contas","BA"
"2926806","Rio do Antônio","Rio do Antonio","BA"
"2926905","Rio do Pires","Rio do Pires","BA"
"2927002","Rio Real","Rio Real","BA"
"2927101","Rodelas","Rodelas","BA"
"2927200","Ruy Barbosa","Ruy Barbosa","BA"
"2927309","Salinas da Margarida","Salinas da Margarida","BA"
"2927408","Salvador","Salvador","BA"
"2927507","Santa Bárbara","Santa Barbara","BA"
"2927606","Santa Brígida","Santa Brigida","BA"
"2927705","Santa Cruz Cabrália","Santa Cruz Cabralia","BA"
"2927804","Santa Cruz da Vitória","Santa Cruz da Vitoria","BA"
"2927903","Santa Inês","Santa Ines","BA"
"2928000","Santaluz","Santaluz","BA"
"2928059","Santa Luzia","Santa Luzia","BA"
"2928109","Santa Maria da Vitória","Santa Maria da Vitoria","BA"
"2928208","Santana","Santana","BA"
"2928307","Santanópolis","Santanopolis","BA"
"2928406","Santa Rita de Cássia","Santa Rita de Cassia","BA"
"2928505","Santa Terezinha","Santa Terezinha","BA"
"2928604","Santo Amaro","Santo Amaro","BA"
"2928703","Santo Antônio de Jesus","Santo Antonio de Jesus","BA"
"2928802","Santo Estêvão","Santo Estevao","BA"
"2928901","São Desidério","Sao Desiderio","BA"
"2928950","São Domingos","Sao Domingos","BA"
"2929008","São Félix","Sao Felix","BA"
"2929057","São Félix do Coribe","Sao Felix do Coribe","BA"
"2929107","São Felipe","Sao Felipe","BA"
"2929206","São Francisco do Conde","Sao Francisco do Conde","BA"
"2929255","São Gabriel","Sao Gabriel","BA"
"2929305","São Gonçalo dos Campos","Sao Goncalo dos Campos","BA"
"2929354","São José da Vitória","Sao Jose da Vitoria","BA"
"2929370","São José do Jacuípe","Sao Jose do Jacuipe","BA"
"2929404","São Miguel das Matas","Sao Miguel das Matas","BA"
"2929503","São Sebastião do Passé","Sao Sebastiao do Passe","BA"
"2929602","Sapeaçu","Sapeacu","BA"
"2929701","Sátiro Dias","Satiro Dias","BA"
"2929750","Saubara","Saubara","BA"
"2929800","Saúde","Saude","BA"
"2929909","Seabra","Seabra","BA"
"2930006","Sebastião Laranjeiras","Sebastiao Laranjeiras","BA"
"2930105","Senhor do Bonfim","Senhor do Bonfim","BA"
"2930154","Serra do Ramalho","Serra do Ramalho","BA"
"2930204","Sento Sé","Sento Se","BA"
"2930303","Serra Dourada","Serra Dourada","BA"
"2930402","Serra Preta","Serra Preta","BA"
"2930501","Serrinha","Serrinha","BA"
"2930600","Serrolândia","Serrolandia","BA"
"2930709","Simões Filho","Simoes Filho","BA"
"2930758","Sítio do Mato","Sitio do Mato","BA"
"2930766","Sítio do Quinto","Sitio do Quinto","BA"
"2930774","Sobradinho","Sobradinho","BA"
"2930808","Souto Soares","Souto Soares","BA"
"2930907","Tabocas do Brejo Velho","Tabocas do Brejo Velho","BA"
